rank,artist,track,preview_url,artwork_url
43,The Police,So Lonely,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music6/v4/87/ca/bc/87cabcb4-2874-b1e7-2f21-552ca4bc611a/mzaf_315500579217508404.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/6f/7b/d5/6f7bd5cd-4653-676b-1477-a1944fcd9a59/source/100x100bb.jpg
44,Ramones,I Wanna Be Sedated,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music2/v4/c3/ce/ef/c3ceef7e-e172-9335-afc3-0475c67030bf/mzaf_2741160881741847536.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/ee/52/b1/ee52b142-eea7-d93a-fd6a-75153c771f7f/source/100x100bb.jpg
45,Prince,I'm Yours,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/5b/8d/74/5b8d74b9-55e0-7d79-657c-aac96910b470/mzaf_64104353933973609.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music4/v4/76/97/9b/76979b4f-3393-9954-99f0-cebe2c8bcf24/source/100x100bb.jpg
46,Megadeth,Symphony of Destruction,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview118/v4/b7/75/b9/b775b962-8bd2-99a7-3e25-dbf5f0e86947/mzaf_4433141060132039807.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/10/bc/54/10bc5427-6ab2-eb48-0fb8-c0d7bacbe354/source/100x100bb.jpg
47,The Michael Schenker Group,Into the Arena,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/ca/06/b5/ca06b5bb-83a4-ee66-812d-d3ecc75dcf96/mzaf_2442901612815245222.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music71/v4/63/24/3b/63243bee-ffc8-8192-c0e0-c06959c92c13/source/100x100bb.jpg
48,George Thorogood & The Destroyers,The Sky Is Crying,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/b6/19/36/b61936e3-0ba4-e99c-a20c-e453346a2cc3/mzaf_1035609730073235074.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/75/87/a8/7587a836-3c40-e0e0-8512-9784fc415bb2/source/100x100bb.jpg
49,Adrian Belew,Pretty Pink Rose,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/b3/2a/d6/mzm.pkahwvce.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/e8/d8/76/e8d8766a-de8e-0264-8f94-9cd5e616822e/source/100x100bb.jpg
50,Mark Knopfler,What It Is,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/75/50/70/mzm.doogepiy.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/35/f6/08/35f608d2-62f7-e04d-e7d0-24c7a31de0ea/source/100x100bb.jpg
51,Steve Vai,Bad Horsie,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/17/a1/9b/mzm.gzmpuzuf.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/26/b3/95/26b395ac-8a81-dc8b-212e-dcb109b966bb/source/100x100bb.jpg
52,Stevie Ray Vaughan & Double Trouble,Scuttle Buttin',https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music5/v4/bc/4e/91/bc4e9147-0f58-1e3a-da0c-2fe7f72d7738/mzaf_789312230326262065.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music5/v4/a0/d2/9e/a0d29eaa-f069-f026-b1aa-647facf7d680/source/100x100bb.jpg
53,U2,Mysterious Ways,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music6/v4/35/60/bf/3560bffc-0362-1ad8-70cd-0e2115aa0ca2/mzaf_8794794835165692587.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/f3/57/8e/f3578e0f-59c2-25c6-76d8-d05e11ecb48e/source/100x100bb.jpg
54,Van Halen,You Really Got Me,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music6/v4/38/5a/17/385a17e9-62bc-f6a0-92d9-32562dde0c8e/mzaf_4832485520084503151.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music3/v4/2c/2d/8e/2c2d8e0a-24a7-193e-9f4d-0566056cbdea/source/100x100bb.jpg
55,Yngwie Malmsteen,Black Star,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/3c/ed/d4/mzm.kyqecsep.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/24/f9/95/24f9955c-3dbd-6526-4b5f-faadffe97189/source/100x100bb.jpg
56,Foreigner,Dirty White Boy (Radio Edit),https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview117/v4/4d/dc/f8/4ddcf859-ef1b-c5cb-7221-5035d194772c/mzaf_6468688125350187120.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/02/39/9a/02399aac-ea78-28f4-69f4-3ee918908e43/source/100x100bb.jpg
57,Bon Jovi,It's My Life,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music3/v4/d7/fa/96/d7fa9625-2f17-e477-6192-4fa4e8f58a52/mzaf_9098708387948351317.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music5/v4/8e/57/ed/8e57ede7-0b95-6a7e-5e29-fa90652b32b9/source/100x100bb.jpg
58,Guns N' Roses,Sweet Child O' Mine,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview118/v4/be/7d/03/be7d0374-90e1-b72f-5006-fa238224fa8c/mzaf_6310073099534841361.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/93/09/d5/9309d5ae-2b5d-d0e3-2909-b1c885fd9641/source/100x100bb.jpg
59,Pearl Jam,Black,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview62/v4/8e/b2/26/8eb226d8-691f-10ca-2476-ce07afa9dd89/mzaf_6362323763366506830.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music71/v4/86/27/f2/8627f2b9-0e43-9e25-b2fa-a44ffc6f42f2/source/100x100bb.jpg
60,Nirvana,Smells Like Teen Spirit,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/f6/10/d5/mzm.pnkvotbz.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/7c/7d/1b/7c7d1b4f-6b3a-86af-dcbb-c955898dc874/source/100x100bb.jpg
61,Lenny Kravitz,Fly Away,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/66/b5/91/66b5919a-f4fc-849c-77f0-f11505b00acd/mzaf_7915095415441296011.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/3e/51/26/3e5126d3-f5e2-69d6-95fb-64f0b79a339f/source/100x100bb.jpg
62,Nine Inch Nails,Head Like a Hole,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music69/v4/ce/70/d1/ce70d121-84a2-853f-b922-12d4c68165a6/mzaf_5530905970376049416.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music42/v4/51/67/b6/5167b618-4692-e412-5ae6-2c9cdc835c8c/source/100x100bb.jpg
63,Red Hot Chili Peppers,Otherside,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music3/v4/8c/ab/62/8cab6274-0fd2-1935-4f35-8187d5adbcf9/mzaf_5281767579623126902.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music3/v4/87/98/aa/8798aa47-233e-b3a4-8154-3a4f4dee0209/source/100x100bb.jpg
64,Prophets of Rage,Hail to the Chief,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview127/v4/81/16/76/8116760c-3b7e-169d-e178-47ed87206b8e/mzaf_2367177309772514306.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music117/v4/b4/e9/aa/b4e9aace-d354-d9f2-bae9-e9655eaf4de9/source/100x100bb.jpg
65,Metallica,Nothing Else Matters,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music7/v4/3c/e7/ac/3ce7ac90-4834-151a-667e-2259c7e7bd38/mzaf_760160703636187828.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/0b/9c/d2/0b9cd2e7-6e76-8912-0357-14780cc2616a/source/100x100bb.jpg
66,Ben Harper,Diamonds on the Inside,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview18/v4/1b/4f/3d/1b4f3dc3-d6a4-7dab-646a-72d448a7a56b/mzaf_3164322619592422276.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music49/v4/a3/06/d9/a306d9e8-628d-4270-797e-d8a8612bcba5/source/100x100bb.jpg
